Age,Gender,Ethnicity,Language,Income,health1,health2,health3,health4,health5,health6,health7,health8,health9,health10,health11,health12,health13,health14,health15,health16,health17,health18,health19,health20,health21,health22,health23,health24,health25,health26,work1,work2,work3,work4,work5,work6,work7,work8,work9,work10,work11,work12,work13,work14,work15,work16,work17
27,2,1,2,2,3,4,5,4,3,4,1,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,5,1,2,3,3,2,3,3,4,3,4,3,3,4,5,4,3,4
22,2,1,1,4,5,5,3,4,5,5,5,5,5,4,5,5,5,4,4,3,2,2,2,3,4,2,1,2,4,3,4,5,4,5,3,3,5,5,5,5,4,5,4,5,5,5,5
22,1,6,1,2,5,3,4,4,4,4,5,5,5,4,1,4,5,3,4,3,4,2,4,4,4,4,5,1,5,5,5,5,4,4,4,3,2,4,4,4,4,4,5,5,4,4,4
26,2,1,1,1,1,4,4,4,4,1,2,4,3,3,1,1,4,3,4,5,3,2,1,3,3,3,4,2,1,2,1,1,2,1,1,1,3,3,2,3,2,1,2,2,3,2,1
43,2,1,1,6,4,4,4,5,4,4,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,4,5,1,2,3,4,4,3,4,4,2,4,4,4,3,4,4,3,4
30,2,1,1,4,5,4,4,3,4,4,3,4,4,5,2,2,4,4,2,4,3,2,2,2,5,2,2,2,5,5,4,3,4,4,5,2,4,4,5,4,4,5,2,3,4,4,3
40,2,2,1,5,5,5,5,5,5,5,4,4,4,3,4,5,4,4,5,5,1,2,2,1,5,2,1,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,4,5,4
21,2,6,1,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,3,4,2,2,2,2,3,2,2,3,2,4,4,3,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4
65,2,1,1,4,5,4,5,4,4,5,2,5,1,1,2,2,4,1,1,2,5,5,3,5,5,5,5,1,4,5,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,3
58,1,1,1,3,5,1,1,1,4,2,1,1,1,1,5,5,5,5,3,4,2,4,5,3,5,2,5,5,5,5,1,1,3,1,3,1,3,2,3,4,5,2,5,2,1,3,2
26,2,1,1,5,5,4,4,5,4,5,5,5,2,2,4,5,2,5,4,3,4,4,5,5,5,5,4,2,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,2,4,4
30,2,6,1,2,5,5,5,5,5,5,5,4,1,1,5,5,5,5,5,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4
